CArea,CFFact,CPolar,NArea,NFFact,NPolar,NCCave,NCaveMaxPiece,ODR,ODG,ODB,NODR,NODG,NODB,Nucls,Segms,Holes,Tails,Nucleols,NuclDensBrd,NuclZDens,NuclEuFraq,NuclEuMeanDF,NuclEuFFDist,NuclEuFFChain,GrODR,GrODG,GrODB,GrODH,ODRCN,ODGCN,ODBCN,GrRODR,GrRODG,GrRODB,Type_real
124.768525129,28.9517062851,0.4914529919,62.7314848051,30.6602769728,0.5740480368,0.1783517835,0.5034482759,0.2736495213,0.4299387634,0.0847869696,0.6673766792,1.561964952,0.1841664839,1.0,2.0,0.0,2.0,0.0,0.8186666369,0.8106666207,0.5009208322,0.3012663424,227.9448547363,432.5818786621,0.4254617393,0.7251856923,0.0960625038,63.0,0.4100375842141053,0.2752550643658744,0.4603821922670696,0.6431824439730531,0.5928671345354396,0.8826229407524562,artefacts
397.3765642636,26.9830028265,0.7374859114,178.3179106822,63.8834462781,0.7907592823,0.8684552142,0.8405580468,0.2243475906,0.4801146426,0.131963296,0.6643322119,1.2344787912,0.251150008,2.0,4.0,0.0,4.0,0.0,0.7019726634,0.6282245517,0.4273345768,0.328831017,465.2518005371,806.9065551758,0.2715780437,0.5694368482,0.1491824836,73.0,0.337703917680527,0.3889209324797673,0.5254361608461506,0.8260888381971948,0.8431394001242648,0.8845763444576412,artefacts
111.0339565001,31.3411874942,0.6459977035,44.6759282929,30.5756822905,0.87557143,0.5025906736,0.9484536082,0.2697692993,0.4265594546,0.1089966091,0.7252130786,1.7462148628,0.2049095114,2.0,2.0,0.0,4.0,0.0,0.7503239512,0.7775377631,0.4577656686,0.2943121791,148.5952453613,266.8248901367,0.4107108116,0.4317107499,0.1517351568,45.0,0.3719862579157849,0.2442766143428796,0.5319255721967429,0.656835154275739,0.9880677159389863,0.7183345732041977,artefacts
185.4166764904,33.2231528562,0.2312660562,74.9228434757,53.1320858679,0.4254094656,1.149330587,0.979390681,0.3497681299,0.6503607117,0.1033291184,0.7095235218,1.5177712655,0.2041750265,4.0,4.0,0.0,8.0,0.0,0.8414062262,0.6468749642,0.4637681246,0.3028549552,238.3472290039,465.0993652344,0.349768132,0.6503607035,0.1033291221,66.0,0.4929619937231516,0.428497182996643,0.5060810823501962,0.9999999939960224,1.000000012608388,0.999999964192089,artefacts
202.0061835422,36.6992432011,0.3740354736,76.9290164215,55.1325722844,0.4273761427,1.1434302909,0.9815789474,0.3777599445,0.6353478578,0.122007739,0.7037092341,1.5054604086,0.2018838789,4.0,4.0,0.0,8.0,0.0,0.823767364,0.6508217454,0.4503816664,0.3107344806,230.9186401367,409.0193786621,0.3777599335,0.6353478432,0.1220077425,64.0,0.5368125444355314,0.4220289382374662,0.6043461204766856,1.0000000291190223,1.000000022979538,0.999999971313296,artefacts
143.2870446287,32.3863627222,0.6115766,63.2716082905,55.0215274341,0.7010412446,0.4158536585,0.8651026393,0.2855255186,0.5356564509,0.0932307516,0.5543495446,1.2364894705,0.1709245992,3.0,4.0,0.0,6.0,0.0,0.9155905247,0.7455117702,0.4688090682,0.3012993038,207.7782287598,367.8769226074,0.3883233368,0.8057620525,0.1022946984,68.0,0.5150640446652222,0.4332074503500594,0.5454495844153484,0.7352777738080046,0.6647824245855758,0.9113937775684376,artefacts
137.8858097746,27.5353163726,0.6216622814,62.808645303,45.2515679494,0.7183355908,0.4029484029,0.8597560976,0.2922710618,0.5596433535,0.0912237929,0.5534931675,1.2357870681,0.1710134991,2.0,2.0,0.0,4.0,0.0,0.9305555224,0.7666666508,0.4767225385,0.2994791865,217.5625,440.6004943848,0.4044585526,0.838158071,0.1146477461,68.0,0.5280481837203528,0.4528639018374269,0.5334303629835501,0.7226230226093134,0.6677062154067118,0.7956876258206702,artefacts
156.0185267847,22.0382249658,0.2512971687,65.8179047217,64.4950898623,0.3381470522,0.6963657679,0.9124579125,0.3063206648,0.5819382491,0.1045034605,0.8488871305,2.0267187364,0.2272544821,3.0,4.0,0.0,7.0,0.0,0.7990384102,0.7009615302,0.4934086502,0.2968617678,227.2366485596,478.821472168,0.3777792156,0.7979301214,0.0459856614,66.0,0.3608496981448819,0.2871332063242676,0.459852142559788,0.8108457325093773,0.7293097897833037,2.2725227237897245,artefacts
204.2438379817,42.0849047175,0.4296916697,92.8240789921,75.6451928848,0.6852155951,0.7755610973,0.9817792069,0.3959150604,0.6662667535,0.1319183275,0.7516534744,1.8972413371,0.2081474521,4.0,5.0,0.0,8.0,0.0,0.7449620962,0.7137594819,0.4697554708,0.3203957379,263.2876586914,513.772277832,0.632101059,1.0625883341,0.1427980512,62.0,0.5267255110023077,0.3511765954448431,0.6337734436289071,0.6263477251981633,0.6270224621507069,0.9238104189197786,artefacts
190.5864298507,32.9859086934,0.7461967173,87.8086466276,48.7855004666,0.8598184437,0.5123022847,0.7993138937,0.345539114,0.5877043027,0.1135317085,0.6876220118,1.4721797033,0.202994897,2.0,3.0,0.0,4.0,0.0,0.7469518781,0.6930481195,0.463824302,0.3249768019,252.3704681396,422.3832702637,0.3764270842,0.7448523641,0.1137903929,68.0,0.5025131657659944,0.3992069048246061,0.5592835592315406,0.917944347002436,0.7890211953748969,0.997726658697564,artefacts
224.7685304272,33.4527763846,0.2644402793,104.2438326835,69.0013487502,0.4085340616,0.7942264989,0.4892823858,0.2895167316,0.5179032842,0.0914023148,0.6265518527,1.3790567302,0.1796781472,3.0,3.0,0.0,6.0,0.0,0.6581717134,0.6847645044,0.4827201664,0.3111367822,335.2448120117,632.4993286133,0.4173935056,0.8884255886,0.1082394049,69.0,0.4620794437880688,0.3755489334546014,0.5087002299631905,0.6936301780350461,0.5829450331525492,0.8444458363795013,artefacts
201.7747020484,25.1138773551,0.7566122741,88.5802516067,50.1177888569,0.857990999,0.5043554007,0.7979274611,0.3409537235,0.5663682646,0.1168934488,0.6899881238,1.4729523039,0.2043032322,2.0,3.0,0.0,5.0,0.0,0.7127388716,0.6821655631,0.4593548477,0.3253745437,249.449432373,438.4078674316,0.3833687603,0.6638580561,0.1168096438,64.0,0.4941443363144449,0.3845122907920386,0.5721566298352474,0.8893623028469804,0.8531466318677698,1.0007174493241626,artefacts
115.9722283667,31.9380027623,0.6752273908,61.5740773364,34.4405855686,0.7279719534,0.3458646617,0.9239130435,0.2163449155,0.3475548731,0.0901518692,0.5422476572,1.1975673111,0.1584725765,2.0,2.0,0.0,4.0,0.0,0.7901082039,0.6899536252,0.4644194841,0.3001792133,209.6128997803,395.3388977051,0.2163449228,0.3475548625,0.0901518688,64.0,0.3989780548193395,0.290217401459264,0.5688799361446616,0.9999999662575858,1.000000030498782,1.0000000044369572,artefacts
96.0648199045,28.9727556503,0.5481963742,43.2870393305,39.4204381221,0.7495372693,0.4563279857,0.8203125,0.3040730488,0.4946164076,0.1135355598,0.6998161118,1.5566614663,0.1946215903,2.0,2.0,0.0,4.0,0.0,0.701624155,0.7308584452,0.4958217144,0.3027465641,147.4382019043,295.5902404785,0.5467445254,0.5615184307,0.1975437552,44.0,0.4345042128537058,0.3177417944157406,0.5833656976340101,0.5561519771552157,0.8808551608598161,0.5747362637966092,artefacts
96.0648199045,28.9727556503,0.5481963742,43.2870393305,39.4204381221,0.7495372693,0.4563279857,0.8203125,0.3040730488,0.4946164076,0.1135355598,0.6998161118,1.5566614663,0.1946215903,2.0,2.0,0.0,4.0,0.0,0.701624155,0.7308584452,0.4958217144,0.3027465641,147.4382019043,295.5902404785,0.5467445254,0.5615184307,0.1975437552,44.0,0.4345042128537058,0.3177417944157406,0.5833656976340101,0.5561519771552157,0.8808551608598161,0.5747362637966092,artefacts
115.9722283667,31.9380027623,0.6752273908,61.5740773364,34.4405855686,0.7279719534,0.3458646617,0.9239130435,0.2163449155,0.3475548731,0.0901518692,0.5422476572,1.1975673111,0.1584725765,2.0,2.0,0.0,4.0,0.0,0.7901082039,0.6899536252,0.4644194841,0.3001792133,209.6128997803,395.3388977051,0.2163449228,0.3475548625,0.0901518688,64.0,0.3989780548193395,0.290217401459264,0.5688799361446616,0.9999999662575858,1.000000030498782,1.0000000044369572,artefacts
459.4907650854,21.5571347255,0.5707686124,221.1419870252,43.5677053375,0.788327326,0.4944173064,0.8708539167,0.1886618488,0.4045476021,0.0947517181,0.5826419724,1.20281928,0.2329706276,2.0,2.0,0.0,4.0,0.0,0.6580103636,0.6587294936,0.4273838699,0.3286295533,593.1350097656,1086.1774902344,0.3205503225,0.6479724646,0.0875435248,68.0,0.3238040816436038,0.3363328214193574,0.4067110050571885,0.5885561035428377,0.624328384616978,1.0823383947181435,artefacts
450.6173078252,25.1974126623,0.5805413231,223.3796414647,44.1132792232,0.7798853227,0.5153713299,0.8840482574,0.1887654921,0.4040608034,0.0969515548,0.5749836662,1.1853827143,0.2299407387,2.0,3.0,0.0,4.0,0.0,0.6528644562,0.6606874466,0.4335766435,0.3229829371,629.6307373047,1146.1922607422,0.2595843375,0.5810266733,0.0926366448,71.0,0.3282971381561655,0.3408694917899226,0.4216371372386132,0.727183673398631,0.6954255664461936,1.0465788674591547,artefacts
125.694451104,21.9406680906,0.6323413698,56.0185214865,47.7382562031,0.7205607141,0.3484848485,0.3675889328,0.4501803767,0.8951980369,0.1720740182,0.6678872299,1.5501552884,0.2150622739,1.0,2.0,0.0,2.0,0.0,1.029963851,0.6790613532,0.4679911733,0.2948113382,186.797164917,429.7738952637,0.6310852766,1.2641406059,0.1737506837,68.0,0.6740365087791896,0.5774892642039642,0.8001125212691245,0.7133431778433602,0.7081475215034859,0.9903501645904604,artefacts
